"year","season_canada","month","disaster_group","total_count"
1900,"spring",4,"Technology","2"
1901,"winter",1,"Technology","2"
1902,"winter",1,"Technology","1"
1902,"spring",5,"Technology","1"
1903,"winter",1,"Technology","1"
1904,"spring",4,"Technology","1"
1906,"winter",1,"Technology","1"
1907,"summer",8,"Technology","1"
1908,"summer",8,"Technology","1"
1910,"winter",1,"Technology","1"
1914,"spring",6,"Technology","1"
1914,"spring",5,"Technology","1"
1915,"winter",2,"Technology","1"
1915,"winter",1,"Technology","1"
1916,"winter",2,"Technology","1"
1916,"summer",9,"Technology","1"
1917,"winter",1,"Technology","1"
1917,"summer",7,"Technology","1"
1917,"fall",12,"Technology","2"
1918,"winter",1,"Technology","1"
1918,"fall",10,"Technology","3"
1921,"winter",1,"Technology","2"
1922,"winter",1,"Technology","1"
1923,"winter",1,"Technology","1"
1927,"winter",1,"Technology","1"
1930,"winter",1,"Technology","2"
1936,"spring",4,"Technology","1"
1936,"summer",8,"Technology","1"
1938,"fall",12,"Technology","2"
1939,"winter",2,"Technology","1"
1942,"winter",12,"Technology","1"
1943,"summer",9,"Technology","1"
1943,"fall",10,"Technology","1"
1945,"summer",7,"Technology","1"
1946,"summer",9,"Technology","1"
1947,"summer",9,"Technology","1"
1949,"summer",9,"Technology","1"
1950,"winter",1,"Technology","3"
1950,"fall",11,"Technology","1"
1951,"winter",2,"Technology","1"
1952,"winter",1,"Technology","1"
1954,"spring",4,"Technology","1"
1956,"fall",11,"Technology","1"
1957,"winter",1,"Technology","1"
1957,"summer",8,"Technology","1"
1958,"spring",6,"Technology","1"
1958,"fall",11,"Technology","1"
1958,"fall",10,"Technology","1"
1959,"winter",1,"Technology","1"
1960,"winter",2,"Technology","1"
1960,"winter",1,"Technology","1"
1963,"spring",6,"Technology","2"
1963,"fall",11,"Technology","1"
1965,"winter",3,"Technology","1"
1965,"summer",7,"Technology","1"
1966,"winter",3,"Technology","1"
1966,"winter",1,"Technology","3"
1967,"winter",1,"Technology","2"
1969,"winter",1,"Technology","1"
1969,"fall",12,"Technology","1"
1970,"summer",7,"Technology","1"
1974,"fall",10,"Technology","1"
1976,"winter",12,"Technology","1"
1976,"winter",2,"Technology","1"
1977,"winter",1,"Technology","1"
1978,"winter",2,"Technology","1"
1978,"winter",1,"Technology","1"
1978,"spring",4,"Technology","1"
1978,"summer",8,"Technology","1"
1979,"winter",2,"Technology","2"
1979,"spring",3,"Technology","1"
1979,"fall",11,"Technology","1"
1980,"winter",1,"Technology","1"
1980,"spring",5,"Technology","1"
1980,"summer",7,"Technology","1"
1981,"spring",4,"Technology","1"
1982,"winter",2,"Technology","2"
1982,"winter",1,"Technology","1"
1983,"winter",1,"Technology","1"
1983,"spring",6,"Technology","2"
1984,"winter",1,"Technology","1"
1985,"winter",1,"Technology","1"
1985,"fall",12,"Technology","1"
1986,"winter",2,"Technology","1"
1986,"winter",1,"Technology","1"
1986,"spring",5,"Technology","1"
1986,"spring",3,"Technology","1"
1986,"fall",10,"Technology","2"
1987,"fall",11,"Technology","1"
1987,"fall",10,"Technology","1"
1988,"winter",3,"Technology","1"
1988,"spring",5,"Technology","3"
1988,"summer",8,"Technology","1"
1988,"fall",12,"Technology","1"
1989,"winter",3,"Technology","1"
1989,"winter",1,"Technology","3"
1989,"summer",9,"Technology","1"
1989,"fall",10,"Technology","1"
1989,"fall",9,"Technology","1"
1990,"winter",3,"Technology","1"
1990,"winter",2,"Technology","1"
1990,"spring",5,"Technology","1"
1990,"spring",4,"Technology","1"
1990,"summer",7,"Technology","1"
1991,"winter",1,"Technology","1"
1991,"spring",5,"Technology","1"
1991,"summer",8,"Technology","1"
1991,"summer",7,"Technology","3"
1991,"fall",11,"Technology","1"
1991,"fall",10,"Technology","1"
1991,"fall",9,"Technology","1"
1992,"winter",12,"Technology","1"
1992,"winter",3,"Technology","2"
1992,"winter",1,"Technology","2"
1992,"spring",5,"Technology","2"
1992,"spring",3,"Technology","1"
1992,"fall",12,"Technology","1"
1993,"spring",4,"Technology","1"
1993,"summer",7,"Technology","1"
1993,"fall",11,"Technology","1"
1993,"fall",10,"Technology","1"
1994,"spring",5,"Technology","1"
1994,"fall",10,"Technology","2"
1995,"winter",1,"Technology","1"
1995,"summer",8,"Technology","1"
1995,"fall",11,"Technology","1"
1997,"summer",7,"Technology","1"
1998,"summer",9,"Technology","1"
1998,"summer",7,"Technology","1"
1999,"winter",12,"Technology","1"
1999,"winter",1,"Technology","1"
1999,"spring",4,"Technology","1"
1999,"summer",9,"Technology","1"
1999,"summer",8,"Technology","1"
1999,"summer",7,"Technology","3"
2000,"summer",8,"Technology","1"
2000,"fall",11,"Technology","1"
2002,"spring",5,"Technology","2"
2002,"spring",4,"Technology","1"
2002,"summer",8,"Technology","1"
2002,"summer",7,"Technology","1"
2002,"summer",6,"Technology","1"
2002,"fall",11,"Technology","1"
2003,"summer",8,"Technology","3"
2004,"summer",8,"Technology","1"
2005,"fall",12,"Technology","1"
2005,"fall",9,"Technology","1"
2006,"summer",8,"Technology","2"
2006,"summer",7,"Technology","1"
2007,"spring",6,"Technology","1"
2007,"spring",5,"Technology","1"
2007,"summer",7,"Technology","2"
2008,"summer",8,"Technology","1"
2008,"summer",7,"Technology","1"
2011,"summer",8,"Technology","1"
2012,"winter",2,"Technology","1"
2014,"summer",8,"Technology","1"
2015,"winter",3,"Technology","1"
2015,"spring",4,"Technology","1"
2015,"spring",3,"Technology","1"
2015,"summer",6,"Technology","1"
2016,"summer",8,"Technology","1"
2016,"summer",7,"Technology","1"
2016,"fall",10,"Technology","1"
